,Source Account,Text,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
35,BBC News (World),Machu Picchu train crash: Collision injures 15 tourists in Peru https://t.co/CgcT7b4KWw,Wed Aug 01 10:04:12 +0000 2018,-0.637,0.0,0.634,0.366,36
36,BBC News (World),Koreans turn to ice vests and hot soup in record Seoul heat https://t.co/mbS1uVrvqT,Wed Aug 01 09:50:19 +0000 2018,0.0,0.0,1.0,0.0,37
37,BBC News (World),RT @BBCAfrica: Zimbabwe elections: The bones that haunt the country https://t.co/lUZQPIOUlg https://t.co/WBA5rJ5yJZ,Wed Aug 01 09:17:13 +0000 2018,-0.402,0.0,0.803,0.197,38
38,BBC News (World),"RT @BBC_HaveYourSay: 👩‍✈️Daughter pilots mum's final flight as an air hostess. ✈️
https://t.co/0YS4PsU0uz",Wed Aug 01 09:15:06 +0000 2018,0.0,0.0,1.0,0.0,39
39,BBC News (World),Swedish crown jewels: Speedboat thieves steal priceless treasures https://t.co/sHFod8j8YC,Wed Aug 01 08:35:10 +0000 2018,-0.178,0.335,0.289,0.376,40
40,BBC News (World),Zimbabwe's Zanu-PF 'has most seats' https://t.co/mlJ5PgtEfa,Wed Aug 01 08:01:52 +0000 2018,0.0,0.0,1.0,0.0,41
41,BBC News (World),"Meet Mamma Maria, the Greek mother who feeds refugees and says threats won't stop her 

https://t.co/KVh5uI8dTw https://t.co/QTnNvrgRvz",Wed Aug 01 07:46:07 +0000 2018,-0.229,0.096,0.762,0.142,42
42,BBC News (World),"Not Middle Earth or Westeros, but Vietnam. 

This outstanding new bridge has taken the internet by storm… https://t.co/j8IkZyk1ky",Wed Aug 01 06:37:35 +0000 2018,0.824,0.28,0.72,0.0,43
43,BBC News (World),"RT @BBCSport: Incredible.

Johanna Konta has inflicted the worst defeat of Serena Williams' career 👉 https://t.co/G8me6nYIG0 https://t.co/Q…",Wed Aug 01 05:53:37 +0000 2018,-0.796,0.0,0.717,0.283,44
44,BBC News (World),Window-smashing kangaroo escapes from shelter in Australia https://t.co/P4sbbcV3wS,Wed Aug 01 04:59:52 +0000 2018,0.128,0.176,0.824,0.0,45
45,BBC News (World),"RT @SallyBundockBBC: If you are a #Facebook user tell us what you're up to. Do you use the social media platform to connect, for news, shop…",Wed Aug 01 03:02:23 +0000 2018,0.0,0.0,1.0,0.0,46
46,BBC News (World),Plastic bags: Australia anger over Coles 'caving in to tantrums' https://t.co/rKmTzka50v,Wed Aug 01 02:56:19 +0000 2018,-0.735,0.0,0.592,0.408,47
47,BBC News (World),How to print your own firearm https://t.co/QwdhuPa7MJ,Wed Aug 01 02:13:11 +0000 2018,0.0,0.0,1.0,0.0,48
48,BBC News (World),US release of 3D-printed gun software blocked https://t.co/KupI0zwD3i,Wed Aug 01 01:53:35 +0000 2018,-0.542,0.0,0.571,0.429,49
49,BBC News (World),100 Women: Playing mother to El Salvador's gang children https://t.co/JbpDgxJGQr,Tue Jul 31 23:25:26 +0000 2018,0.202,0.167,0.833,0.0,50
50,BBC News (World),Disinvited - the bridesmaids no longer needed https://t.co/J1GHxeizPL,Tue Jul 31 23:05:54 +0000 2018,-0.296,0.0,0.732,0.268,51
51,BBC News (World),Black Panther spin-off: How author Nnedi Okorafor found her identity https://t.co/ckuLR5VGzw,Tue Jul 31 23:03:24 +0000 2018,0.0,0.0,1.0,0.0,52
52,BBC News (World),US embassy in London auctions off toilet rolls and old goods https://t.co/L3AJUtNMDB,Tue Jul 31 22:47:08 +0000 2018,0.0,0.0,1.0,0.0,53
